ProvinceName,2019_Humidity,2018_Humidity,2020_Humidity
กำแพงเพชร,70.1,73.9,70.00
เชียงใหม่,65.8,70.5,65.00
เชียงราย,70.2,78,72.00
ตาก,67.3,73.5,66.00
นครสวรรค์,71.4,74.5,69.00
น่าน,72.5,77.7,72.00
เพชรบูรณ์,69.1,74.2,70.00
แพร่,73,77.1,71.00
พะเยา,75.3,81.3,72.00
พิจิตร,74.4,77,73.00
พิษณุโลก,72,75.3,72.00
แม่ฮ่องสอน,73,77,71.00
ลำปาง,69,75.4,68.00
ลำพูน,69.5,74.8,69.00
สุโขทัย,74.2,78.2,73.00
อุตรดิตถ์,67.5,72.9,67.00
อุทัยธานี,71.5,78,71.00
กาฬสินธุ์,75,71.7,78.00
ขอนแก่น,67.2,69.5,71.00
ชัยภูมิ,63.9,71.7,67.00
นครพนม,70,69.5,70.00
นครราชสีมา,69.2,71.7,75.00
บุรีรัมย์,75.7,77.7,72.00
มหาสารคาม,69.7,73.3,73.00
มุกดาหาร,70.5,73.3,72.00
ร้อยเอ็ด,70,72.7,72.00
เลย,69.3,76.5,73.00
ศรีสะเกษ,73.4,74.3,74.00
สกลนคร,71.2,73.9,74.00
สุรินทร์,69.4,72.4,70.00
หนองคาย,70.6,72.4,71.00
หนองบัวลำภู,70.2,75.6,72.00
อุดรธานี,69.6,73.9,71.00
อุบลราชธานี,68.5,71.1,70.00
กรุงเทพมหานคร,72.9,75.7,73.00
กาญจนบุรี,67.2,71.9,69.00
ชัยนาท,72.1,76.8,70.00
นครปฐม,76.2,80.1,77.00
นครนายก,85.7,75.5,86.00
ปทุมธานี,76,78.8,74.00
ประจวบคีรีขันธ์,75.2,78.9,76.00
เพชรบุรี,76,76.8,77.00
พระนครศรีอยุธยา,72.6,78.8,73.00
ราชบุรี,76.9,72.6,78.00
ลพบุรี,68.4,76.2,69.00
สมุทรปราการ,74.3,74.6,75.00
สุพรรณบุรี,71.4,78.6,73.00
จันทบุรี,77.6,81.6,78.00
ฉะเชิงเทรา,77.4,76,79.00
ชลบุรี,73.7,82.8,76.00
ตราด,81,74.9,81.00
ปราจีนบุรี,69.9,79,71.00
ระยอง,76.9,81.3,78.00
สระแก้ว,77.9,82.9,79.00
กระบี่,80.1,82.1,82.00
ชุมพร,80.9,81,83.00
ตรัง,79.9,83.3,80.00
นครศรีธรรมราช,81.4,81.4,84.00
นราธิวาส,77.5,81.9,78.00
ปัตตานี,83.7,83.2,81.00
พัทลุง,81.7,76.5,84.00
ภูเก็ต,75.4,81.9,76.00
ยะลา,81,80.4,82.00
ระนอง,78.5,80.3,77.00
สงขลา,76.8,79.8,80.00
สตูล,78,85,80.00
สุราษฎร์ธานี,82.9,70,83.00
พังงา,,,
สตูล,,,
