,code,geocode,name,lat,lng,prov_id,tambon_name,amphoe_name,province_name,basin,name_e,tambon_name_e,amphoe_name_e,province_name_e,wl_offset,station_type,left_bank,right_bank,ground_level,rid_critical_level
0,BKK001,104201.0,คลองลาดพร้าว ท้ายปตร.คลอง2,13.922305,100.634267,10.0,สายไหม,สายไหม,กรุงเทพมหานคร,แม่น้ำเจ้าพระยา,Krung Thep 1,Sai Mai,Sai Mai,Bangkok,0.0,W,2.563,2.758,-1.9,
1,BKK002,130114.0,คลองเปรมประชากร หลักหก,13.96563,100.60258,13.0,หลักหก,เมืองปทุมธานี,ปทุมธานี,แม่น้ำเจ้าพระยา,Krung Thep 2,Lak Hok,Mueang Pathum Thani,Pathum Thani,0.0,W,1.575,1.292,-1.372,
2,BKK003,101902.0,คลองมหาสวัสดิ บางกรวย-สวนผัก,13.79957,100.43872,10.0,ตลิ่งชัน,ตลิ่งชัน,กรุงเทพมหานคร,แม่น้ำเจ้าพระยา,Krung Thep 3,Taling Chan,Taling Chan,Bangkok,0.0,W,2.069,2.152,-3.101,
3,BKK004,104802.0,คลองทวีวัฒนา ท้ายปตร.ทวีวัฒนา,13.79566,100.33194,10.0,ศาลาธรรมสพน์,ทวีวัฒนา,กรุงเทพมหานคร,แม่น้ำเจ้าพระยา,Krung Thep 4,Sala Thammasop,Thawi Watthana,Bangkok,0.0,W,1.422,1.877,-1.835,
4,BKK005,104004.0,คลองภาษีเจริญ เพชรเกษม69,13.691615,100.381393,10.0,หลักสอง,บางแค,กรุงเทพมหานคร,แม่น้ำเจ้าพระยา,Krung Thep 5,Lak Song,Bang Khae,Bangkok,0.0,W,1.637,1.415,-1.605,
5,BKK006,740113.0,คลองมหาชัย วัดพันท้ายนรสิงห์,13.58182,100.36586,74.0,พันท้ายนรสิงห์,เมืองสมุทรสาคร,สมุทรสาคร,แม่น้ำท่าจีน,Krung Thep 6,Phanthai Norasing,Mueang Samut Sakhon,Samut Sakhon,0.0,W,1.924,1.084,-5.328,
6,BKK007,120301.0,คลองอ้อมนนท์ บางใหญ่ (ถนนบางกรวย-ไทรน้อย),13.87101,100.43628,12.0,บางม่วง,บางใหญ่,นนทบุรี,แม่น้ำเจ้าพระยา,Krung Thep 7,Bang Muang,Bang Yai,Nonthaburi,0.0,W,1.592,1.738,-3.274,
7,BKK008,100608.0,คลองแสนแสบ บางกะปิ,13.7614,100.61606,10.0,หัวหมาก,บางกะปิ,กรุงเทพมหานคร,แม่น้ำเจ้าพระยา,Krung Thep 8,Hua Mak,Bang Kapi,Bangkok,0.0,W,0.922,0.881,-5.368,
8,BKK009,101101.0,คลองลำปลาทิว ลาดกระบัง,13.74064,100.79477,10.0,ลาดกระบัง,ลาดกระบัง,กรุงเทพมหานคร,แม่น้ำบางปะกง,Krung Thep 9,Lat Krabang,Lat Krabang,Bangkok,0.0,W,0.6228,1.188,-3.171,
9,BKK012,110601.0,คลองสำโรง บางเสาธง,13.589267,100.802235,11.0,บางเสาธง,บางเสาธง,สมุทรปราการ,แม่น้ำบางปะกง,Krung Thep 12,Bang Sao Thong,Bang Sao Thong,Samut Prakan,0.0,W,1.782,0.646,-2.678,
