ProvinceName,ผลผลิต(ตัน),สัดส่วน,เนื้อที่เก็บเกี่ยว(ไร่),ผลผลิตต่อเนื้อที่เก็บเกี่ยว(กก.),Year
ตราด,104248,0.386,50472,2065.46,2020
จันทบุรี,98063,0.3631,53255,1841.39,2020
สุราษฎร์ธานี,20559,0.0761,25848,795.38,2020
ระยอง,8326,0.0308,5038,1652.64,2020
นครศรีธรรมราช,6701,0.0248,11935,561.46,2020
นราธิวาส,5507,0.0204,14614,376.83,2020
เชียงราย,2916,0.0108,6240,467.31,2020
น่าน,2363,0.0088,6963,339.37,2020
พังงา,2204,0.0082,3797,580.46,2020
ศรีสะเกษ,2076,0.0077,1837,1130.1,2020
พัทลุง,1974,0.0073,3294,599.27,2020
ชุมพร,1614,0.006,2497,646.38,2020
เลย,1169,0.0043,2440,479.1,2020
เชียงใหม่,1037,0.0038,2215,468.17,2020
สงขลา,966,0.0036,2339,413,2020
บึงกาฬ,881,0.0033,736,1197.01,2020
สตูล,801,0.003,1315,609.13,2020
ยะลา,800,0.003,2511,318.6,2020
พิษณุโลก,795,0.0029,1248,637.02,2020
หนองคาย,758,0.0028,927,817.69,2020
กาญจนบุรี,735,0.0027,1614,455.39,2020
อุบลราชธานี,693,0.0026,508,1364.17,2020
ตรัง,683,0.0025,1257,543.36,2020
ปัตตานี,642,0.0024,1485,432.32,2020
พะเยา,477,0.0018,793,601.51,2020
ประจวบคีรีขันธ์,474,0.0018,476,995.8,2020
ปราจีนบุรี,426,0.0016,358,1189.94,2020
กระบี่,359,0.0013,858,418.41,2020
สุโขทัย,285,0.0011,873,326.46,2020
เพชรบูรณ์,245,0.0009,257,953.31,2020
ราชบุรี,225,0.0008,630,357.14,2020
อุตรดิตถ์,186,0.0007,1044,178.16,2020
ระนอง,169,0.0006,329,513.68,2020
ภูเก็ต,140,0.0005,379,369.39,2020
เพชรบุรี,140,0.0005,353,396.6,2020
อุทัยธานี,127,0.0005,165,769.7,2020
นครนายก,92,0.0003,102,901.96,2020
แม่ฮ่องสอน,49,0.0002,144,340.28,2020
ยโสธร,45,0.0002,76,592.11,2020
หนองบัวลำภู,44,0.0002,50,880,2020
นครราชสีมา,31,0.0001,74,418.92,2020
ชลบุรี,27,0.0001,31,870.97,2020
